Temp (K),x,D_nom,D (m2/s),x,D (m^2/s)
303.15,0,2.25E-14,3.37E-14,0,1.23385E-65
,0.1,2.25E-14,3.37E-14,0.01,4.6319E-61
,0.15,5.89E-15,8.84E-15,0.02,8.83746E-57
,0.2,3.61E-15,5.41E-15,0.03,8.71936E-53
,0.25,3.09E-15,4.63E-15,0.04,4.53588E-49
,0.3,2.89E-15,4.34E-15,0.05,1.27079E-45
,0.35,2.70E-15,4.06E-15,0.06,1.96153E-42
,0.4,2.49E-15,3.74E-15,0.07,1.70857E-39
,0.45,2.30E-15,3.45E-15,0.08,8.6105E-37
,0.5,2.16E-15,3.24E-15,0.09,2.57598E-34
,0.55,2.06E-15,3.09E-15,0.1,4.69643E-32
,0.6,1.94E-15,2.92E-15,0.11,5.35835E-30
,0.65,1.74E-15,2.61E-15,0.12,3.92932E-28
,0.7,1.46E-15,2.19E-15,0.13,1.90192E-26
,0.75,1.20E-15,1.80E-15,0.14,6.23916E-25
,0.8,1.09E-15,1.64E-15,0.15,1.42379E-23
,0.85,1.16E-15,1.73E-15,0.16,2.31878E-22
,0.9,1.40723E-16,2.11E-16,0.17,2.76328E-21
,0.95,1.32704E-17,1.99E-17,0.18,2.46881E-20
,1,3.26E-20,4.89E-20,0.19,1.69298E-19
,,,,0.2,9.11475E-19
,,,,0.21,3.93719E-18
,,,,0.22,1.39305E-17
,,,,0.23,4.1174E-17
,,,,0.24,1.0357E-16
,,,,0.25,2.25631E-16
,,,,0.26,4.3275E-16
,,,,0.27,7.41972E-16
,,,,0.28,1.15346E-15
,,,,0.29,1.64723E-15
,,,,0.3,2.18701E-15
,,,,0.31,2.72915E-15
,,,,0.32,3.23279E-15
,,,,0.33,3.66738E-15
,,,,0.34,4.01605E-15
,,,,0.35,4.27507E-15
,,,,0.36,4.45086E-15
,,,,0.37,4.55613E-15
,,,,0.38,4.60638E-15
,,,,0.39,4.61719E-15
,,,,0.4,4.60261E-15
,,,,0.41,4.57431E-15
,,,,0.42,4.54139E-15
,,,,0.43,4.51045E-15
,,,,0.44,4.48595E-15
,,,,0.45,4.47049E-15
,,,,0.46,4.4652E-15
,,,,0.47,4.47E-15
,,,,0.48,4.48381E-15
,,,,0.49,4.50478E-15
,,,,0.5,4.53042E-15
,,,,0.51,4.55776E-15
,,,,0.52,4.58349E-15
,,,,0.53,4.60416E-15
,,,,0.54,4.6163E-15
,,,,0.55,4.61663E-15
,,,,0.56,4.60228E-15
,,,,0.57,4.57092E-15
,,,,0.58,4.52096E-15
,,,,0.59,4.45163E-15
,,,,0.6,4.36306E-15
,,,,0.61,4.25626E-15
,,,,0.62,4.13305E-15
,,,,0.63,3.99595E-15
,,,,0.64,3.84797E-15
,,,,0.65,3.69247E-15
,,,,0.66,3.53292E-15
,,,,0.67,3.37273E-15
,,,,0.68,3.21508E-15
,,,,0.69,3.06281E-15
,,,,0.7,2.91835E-15
,,,,0.71,2.7837E-15
,,,,0.72,2.66037E-15
,,,,0.73,2.54945E-15
,,,,0.74,2.45166E-15
,,,,0.75,2.36737E-15
,,,,0.76,2.29666E-15
,,,,0.77,2.23935E-15
,,,,0.78,2.19506E-15
,,,,0.79,2.16322E-15
,,,,0.8,2.14303E-15
,,,,0.81,2.13351E-15
,,,,0.82,2.13341E-15
,,,,0.83,2.14124E-15
,,,,0.84,2.15517E-15
,,,,0.85,2.17309E-15
,,,,0.86,2.19255E-15
,,,,0.87,2.21085E-15
,,,,0.88,2.22515E-15
,,,,0.89,2.23265E-15
,,,,0.9,2.23086E-15
,,,,0.91,2.21789E-15
,,,,0.92,2.19281E-15
,,,,0.93,2.15598E-15
,,,,0.94,2.1093E-15
,,,,0.95,2.05637E-15
,,,,0.96,2.00265E-15
,,,,0.97,1.95551E-15
,,,,0.98,1.92456E-15
,,,,0.99,1.92249E-15
,,,,1,1.96707E-15
